timestamp_utc,open,high,low,close,volume,turnover,oi_btc,long_ratio,short_ratio,long_short_ratio,funding_rate,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,basis,premium_pct,oi_usd
2025-07-08 08:00:00+00:00,2552.33,2584.79,2541.63,2574.04,213222.3,546471985.6561,1001421.9,0.7612,0.2388,3.1876046901172526,4.241e-05,2552.39,2584.78,2541.95,2574.2,2553.4,2585.4,2543.42,2575.18,-0.9800000000000182,-0.00038055592230446737,2577860254.98
2025-07-08 12:00:00+00:00,2574.04,2600.48,2555.67,2563.72,380208.17,979536271.1497,1014347.82,0.7423,0.2577,2.880481179666279,4.241e-05,2574.2,2600.22,2556.89,2563.6,2575.18,2600.71,2557.9,2564.74,-1.1399999999998727,-0.0004444894999102727,2600382071.3519998
2025-07-08 16:00:00+00:00,2563.72,2628.16,2558.25,2609.67,504239.77,1313218535.1017,1005367.12,0.738,0.262,2.8167938931297707,0.0001,2563.6,2627.76,2558.59,2609.85,2564.74,2628.29,2559.74,2610.57,-0.7200000000002547,-0.0002758018363806581,2623857378.132
2025-07-08 20:00:00+00:00,2609.67,2617.0,2595.67,2614.43,130331.13,339803253.9903,1062463.95,0.7134,0.2866,2.4891835310537336,0.0001,2609.85,2617.0,2595.92,2614.42,2610.57,2617.7,2596.87,2615.3,-0.8800000000001091,-0.00033648147440068407,2777727000.159
2025-07-09 00:00:00+00:00,2614.43,2626.43,2588.66,2590.64,164688.36,429011983.2736,1056049.97,0.7128,0.2872,2.481894150417827,0.0001,2614.42,2625.99,2589.22,2590.67,2615.3,2626.77,2590.35,2591.74,-1.069999999999709,-0.00041285005440349303,2735876975.7799
2025-07-09 04:00:00+00:00,2590.64,2646.59,2589.6,2624.55,290795.17,762602315.8449,1050881.0,0.7139,0.2861,2.495281370150297,0.0001,2590.67,2645.55,2589.71,2624.55,2591.74,2645.93,2590.89,2624.87,-0.31999999999970896,-0.00012191079939185901,2758089728.55
2025-07-09 08:00:00+00:00,2624.55,2629.91,2603.06,2625.2,226807.61,593483813.8835,1080605.98,0.7161,0.2839,2.522367030644593,0.0001,2624.55,2629.67,2604.6,2625.32,2624.87,2630.37,2605.15,2626.29,-0.9699999999997999,-0.00036934230416283044,2836936491.4136
2025-07-09 12:00:00+00:00,2625.2,2674.35,2622.8,2655.48,654908.55,1736996725.4222,1096453.83,0.725,0.275,2.6363636363636362,0.0001,2625.32,2674.28,2622.86,2655.63,2626.29,2674.83,2623.94,2656.85,-1.2199999999998,-0.0004591903946401942,2911775684.5629005
2025-07-09 16:00:00+00:00,2655.48,2795.19,2651.1,2763.92,822647.49,2239074113.8933,1107866.08,0.7095,0.2905,2.442340791738382,0.0001,2655.63,2794.41,2651.11,2764.05,2656.85,2795.33,2652.39,2764.92,-0.8699999999998909,-0.00031465648192348817,3062197238.4240003
2025-07-09 20:00:00+00:00,2763.92,2781.98,2730.44,2768.01,488232.41,1345967856.3725,1109610.13999999,0.6878,0.3122,2.2030749519538757,0.0001,2764.05,2782.04,2730.8,2768.06,2764.92,2782.96,2731.76,2768.62,-0.5599999999999454,-0.00020226683329599058,3071467444.1283717
2025-07-10 00:00:00+00:00,2768.01,2797.94,2754.43,2775.1,239143.08,663611981.6879,1121440.7,0.6683,0.3317,2.014772384684956,0.0001,2768.06,2797.36,2755.03,2775.46,2768.62,2797.81,2755.5,2776.07,-0.6100000000001273,-0.0002197350931353054,3112513805.222
2025-07-10 04:00:00+00:00,2775.1,2824.37,2765.08,2790.08,336220.25,940065532.237,1139478.92,0.6641,0.3359,1.9770765108663295,0.0001,2775.46,2822.23,2765.16,2790.2,2776.07,2823.05,2765.72,2790.98,-0.7800000000002001,-0.0002794717267770461,3179374082.5839996
2025-07-10 08:00:00+00:00,2790.08,2797.07,2771.27,2777.73,208306.95,579732330.069,1161383.33,0.6773,0.3227,2.098853424233034,0.0001,2790.2,2796.27,2771.56,2777.81,2790.98,2796.89,2772.29,2778.74,-0.9299999999998363,-0.0003346840654396728,3226102227.9073
2025-07-10 12:00:00+00:00,2777.73,2793.8,2756.17,2768.31,371009.86,1028941484.7498,1161799.82,0.6686,0.3314,2.0175015087507546,0.0001,2777.81,2793.79,2758.0,2768.25,2778.74,2795.04,2759.3,2769.32,-1.0700000000001637,-0.0003863764389814697,3216152351.715
2025-07-10 16:00:00+00:00,2768.31,2840.03,2767.36,2814.71,712934.16,2003117130.0106,1146616.99,0.67,0.33,2.0303030303030303,7.9e-05,2768.25,2839.83,2767.76,2814.96,2769.32,2840.59,2768.9,2816.12,-1.1599999999998545,-0.0004119142650170641,3227680962.1704
2025-07-10 20:00:00+00:00,2814.71,3005.0,2811.89,2950.5,1019469.67,2984222011.5934,1133922.12,0.6886,0.3114,2.2113037893384715,7.9e-05,2814.96,3000.67,2811.9,2950.5,2816.12,3000.95,2813.06,2951.08,-0.5799999999999272,-0.00019653821651731816,3345637215.0600004
2025-07-11 00:00:00+00:00,2950.5,2974.0,2913.33,2968.4,325329.71,958922998.8578,1071251.13999999,0.7108,0.2892,2.457814661134163,0.0001,2950.5,2973.86,2913.34,2968.56,2951.08,2974.96,2914.12,2969.82,-1.2600000000002183,-0.00042426813746295004,3180073284.15837
2025-07-11 04:00:00+00:00,2968.4,3029.13,2942.35,2968.36,655044.39,1962157343.4763,1077548.62,0.7195,0.2805,2.5650623885918002,0.0001,2968.56,3028.51,2946.79,2968.58,2969.82,3029.49,2946.86,2968.78,-0.20000000000027285,-6.736774028397956e-05,3198789282.3596
2025-07-11 08:00:00+00:00,2968.36,3039.81,2962.5,2983.79,550760.78,1652573318.9002,1093702.59,0.7193,0.2807,2.5625222657641613,0.0001,2968.58,3039.29,2964.14,2983.87,2968.78,3039.94,2964.69,2984.14,-0.2699999999999818,-9.047832876473014e-05,3263466347.2233
2025-07-11 12:00:00+00:00,2983.79,3009.61,2938.34,2950.99,582463.51,1736369734.119,1095184.19,0.7225,0.2775,2.6036036036036037,0.0001,2983.87,3009.51,2939.54,2950.99,2984.14,3009.76,2939.53,2951.17,-0.18000000000029104,-6.0992758804233926e-05,3231877592.8480997
2025-07-11 16:00:00+00:00,2950.99,3010.83,2936.04,3007.31,415370.22,1237211147.0947,1094080.58,0.7178,0.2822,2.543586109142452,0.0001,2950.99,3010.47,2936.38,3007.05,2951.17,3010.33,2936.56,3007.68,-0.6299999999996544,-0.00020946377274166616,3289955008.089
2025-07-11 20:00:00+00:00,3007.31,3009.75,2921.67,2957.02,418260.77,1239500451.5347,1129290.58,0.7205,0.2795,2.5778175313059033,0.0001,3007.05,3009.73,2922.0,2957.21,3007.68,3010.13,2923.33,2958.23,-1.0199999999999818,-0.00034480077613978014,3339549396.0818005
2025-07-12 00:00:00+00:00,2957.02,2970.16,2930.35,2965.31,164468.22,485821224.5337,1097395.55,0.7194,0.2806,2.563791874554526,0.0001,2957.21,2970.11,2933.01,2965.31,2958.23,2970.87,2932.96,2966.11,-0.8000000000001819,-0.0002697135305164616,3254117998.3705
2025-07-12 04:00:00+00:00,2965.31,2977.94,2939.67,2961.92,147238.32,435442395.0455,1080727.06,0.721,0.279,2.584229390681003,0.0001,2965.31,2976.68,2940.92,2961.92,2966.11,2977.82,2941.69,2962.99,-1.069999999999709,-0.00036112170476434584,3201027093.5552
2025-07-12 08:00:00+00:00,2961.92,2981.46,2956.2,2962.64,152510.62,452905317.7549,1080623.84,0.7206,0.2794,2.579098067287044,0.0001,2961.92,2978.99,2956.56,2962.64,2962.99,2979.7,2957.57,2963.4,-0.7600000000002183,-0.0002564621718297288,3201499413.3376
2025-07-12 12:00:00+00:00,2962.64,2966.85,2902.21,2914.91,491421.27,1439671343.3648,1080917.44,0.7232,0.2768,2.61271676300578,0.0001,2962.64,2966.76,2902.75,2915.0,2963.4,2967.66,2904.23,2916.08,-1.0799999999999272,-0.0003703602095964196,3150874337.6
2025-07-12 16:00:00+00:00,2914.91,2946.0,2909.44,2939.7,165633.12,485766519.0856,1084509.73,0.715,0.285,2.5087719298245617,0.0001,2915.0,2944.34,2909.48,2939.72,2916.08,2945.84,2910.64,2941.02,-1.300000000000182,-0.00044202351565109446,3188154943.4756
2025-07-12 20:00:00+00:00,2939.7,2947.11,2912.33,2942.13,130998.9,384002996.4637,1099502.51,0.7211,0.2789,2.5855145213338115,0.0001,2939.72,2947.02,2913.35,2942.13,2941.02,2947.99,2914.95,2943.28,-1.150000000000091,-0.00039072055665790917,3234879319.7463
2025-07-13 00:00:00+00:00,2942.13,2960.74,2935.06,2953.96,132857.38,391641065.0435,1100234.40999999,0.7185,0.2815,2.5523978685612794,5.293e-05,2942.13,2959.81,2935.17,2953.71,2943.28,2960.72,2936.46,2955.07,-1.3600000000001273,-0.0004602259844944882,3249773379.1610703
2025-07-13 04:00:00+00:00,2953.96,2967.0,2948.4,2961.58,96822.28,286416557.4046,1107958.64999999,0.725,0.275,2.6363636363636362,5.293e-05,2953.71,2966.15,2948.43,2961.62,2955.07,2967.47,2949.58,2962.91,-1.2899999999999636,-0.00043538278246722437,3281352497.01297
2025-07-13 08:00:00+00:00,2961.58,2965.97,2942.32,2964.07,117665.49,347617792.021,1110063.87999999,0.7121,0.2879,2.4734282737061477,0.0001,2961.62,2964.93,2943.22,2964.08,2962.91,2965.72,2944.47,2964.57,-0.49000000000023647,-0.00016528535335655304,3290318145.430371
2025-07-13 12:00:00+00:00,2964.07,3020.18,2957.84,2991.41,434696.06,1299747074.7427,1112114.61,0.7058,0.2942,2.399048266485384,0.0001,2964.08,3020.17,2958.53,2991.42,2964.57,3020.22,2959.01,2992.48,-1.0599999999999454,-0.00035422124792812166,3326801886.6462
2025-07-13 16:00:00+00:00,2991.41,3011.55,2960.56,2988.45,223186.3,667060950.7663,1114705.40999999,0.7171,0.2829,2.5348179568752207,0.0001,2991.42,3010.64,2963.16,2988.5,2992.48,3010.59,2963.15,2989.37,-0.8699999999998909,-0.00029103122062504506,3331297117.78497
2025-07-13 20:00:00+00:00,2988.45,2998.0,2938.65,2970.6,266961.63,792086428.9921,1115086.59,0.7182,0.2818,2.5486160397444997,0.0001,2988.5,2998.0,2940.26,2970.62,2989.37,2998.84,2941.06,2972.06,-1.4400000000000546,-0.00048451242572493646,3312498525.9858003
2025-07-14 00:00:00+00:00,2970.6,3054.47,2961.6,3036.77,393311.57,1182804681.7682,1102612.7,0.7172,0.2828,2.536067892503536,0.0001,2970.62,3051.6,2961.86,3036.84,2972.06,3052.1,2963.01,3037.45,-0.6099999999996726,-0.00020082635105093832,3348458351.868
2025-07-14 04:00:00+00:00,3036.77,3066.21,3016.19,3044.76,434968.11,1322545076.1538,1141014.04,0.7252,0.2748,2.6390101892285296,0.0001,3036.84,3063.96,3016.56,3044.75,3037.45,3064.49,3017.06,3044.96,-0.21000000000003638,-6.896642320425765e-05,3474102498.29
2025-07-14 08:00:00+00:00,3044.76,3085.0,3022.12,3051.71,497777.26,1520136101.7452,1170083.86,0.7293,0.2707,2.694126339120798,0.0001,3044.75,3083.13,3023.11,3052.0,3044.96,3082.98,3023.3,3051.77,0.2300000000000182,7.536609901795292e-05,3571095940.7200003
2025-07-14 12:00:00+00:00,3051.71,3069.02,2992.03,3012.21,561470.81,1703626058.1871,1177595.75,0.7205,0.2795,2.5778175313059033,0.0001,3052.0,3067.85,2993.71,3012.22,3051.77,3068.28,2993.63,3012.52,-0.3000000000001819,-9.958440109947217e-05,3547177470.0649996
2025-07-14 16:00:00+00:00,3012.21,3030.08,2979.99,2999.29,384454.98,1155803896.7875,1158513.39999999,0.7262,0.2738,2.652300949598247,0.0001,3012.22,3030.04,2982.5,2999.12,3012.52,3030.01,2983.13,3000.33,-1.2100000000000364,-0.00040328897154647534,3474520708.2079697
